,Address,latitude,longitude
0,"1 Washington Sq, San Jose, CA 95192",37.34,-121.88
1,"N 2nd St &, E St James St, San Jose, CA 95112",37.3396284,-121.8916795
2,"E William St & S 16th St, San Jose, CA 95112",37.3358414,-121.8696427
3,"310 W San Fernando St #286, San Jose, CA 95113",37.3315405,-121.894753
4,"W St James St, San Jose, CA 95110",37.3381988,-121.8947291
5,"249-225 E William St, San Jose, CA 95112",37.3311082,-121.8795724
6,"510 S First St, San Jose, CA 95113",37.328488,-121.8844554
7,"N Autumn St, San Jose, CA 95113",37.3343245,-121.9006211
8,"955 S Sixth St, San Jose, CA 95112",37.3241385,-121.8755176
9,"438 Coleman Ave, San Jose, CA 95110",37.3415293,-121.9029958
10,"127 S Market St, San Jose, CA 95113",37.332254,-121.8903844
11,"805 Harliss Ave, San Jose, CA 95110",37.3196164,-121.8885698
12,"Paseo De San Antonio at, S Second St, San Jose, CA 95113",37.3333963,-121.887047
13,"1117 Woodborough Dr, San Jose, CA 95116",37.3347685,-121.8655784
14,"First Street & Fox Avenue, San Jose, CA 95110",37.3433083,-121.8959764
15,"1135 Lick Ave, San Jose, CA 95110",37.3146242,-121.8846778
16,"1 Paseo de San Antonio, San Jose, CA 95113",37.3320044,-121.8895243
17,"330 W San Carlos St, San Jose, CA 95110",37.3282323,-121.8931962
18,"Floyd St, San Jose, CA 95110",37.3150553,-121.878636
19,"350 E Humboldt St #300, San Jose, CA 95112",37.3183122,-121.86967
20,"W. San Fernando Street & Wilson Avenue, San Jose, CA 95126",37.3290044,-121.9054867
21,"345 W Santa Clara St, San Jose, CA 95113",37.333548,-121.8977821
22,"Asbury Street &, Irene St, San Jose, CA 95110",37.3460249,-121.9080355
23,"San Fernando, San Jose, CA 95113",37.3303319,-121.8983072
24,"359 West Ct, San Jose, CA 95116",37.3553048,-121.8696698
